366, 377, 371, 371, 373, 371, 368, 354, 344, 331, 322, 311, 300, 291, 281, 267
338, 376, 374, 373, 376, 370, 366, 357, 349, 335, 325, 315, 307, 296, 284, 273
345, 352, 374, 371, 375, 373, 363, 321, 344, 337, 326, 316, 313, 301, 291, 281
360, 374, 374, 374, 372, 371, 364, 347, 322, 334, 327, 316, 313, 304, 296, 281
356, 370, 371, 371, 368, 368, 361, 356, 340, 330, 325, 314, 310, 301, 293, 279
350, 361, 364, 364, 365, 359, 356, 353, 334, 322, 312, 303, 290, 288, 281, 270
348, 359, 362, 363, 365, 360, 354, 345, 330, 319, 306, 295, 287, 279, 272, 267
345, 353, 352, 356, 359, 351, 344, 333, 320, 312, 302, 291, 282, 275, 260, 255
338, 345, 344, 345, 348, 343, 334, 323, 313, 306, 296, 288, 279, 269, 262, 252
333, 339, 336, 337, 338, 335, 325, 313, 305, 296, 288, 279, 271, 263, 255, 243
326, 331, 329, 329, 330, 325, 316, 302, 296, 287, 278, 269, 264, 256, 248, 235
302, 316, 317, 320, 322, 317, 307, 294, 286, 278, 272, 261, 254, 248, 240, 229
