366, 376, 371, 371, 373, 371, 368, 354, 344, 331, 322, 311, 299, 290, 282, 267
339, 377, 374, 373, 375, 370, 367, 358, 348, 335, 325, 314, 306, 296, 285, 273
345, 352, 374, 371, 375, 373, 364, 321, 345, 338, 326, 316, 312, 302, 291, 282
360, 374, 374, 373, 372, 370, 365, 347, 323, 334, 327, 315, 312, 304, 295, 281
356, 370, 370, 371, 368, 368, 362, 357, 340, 331, 325, 314, 310, 301, 293, 278
351, 361, 365, 364, 365, 359, 356, 353, 335, 322, 313, 303, 289, 287, 281, 270
348, 359, 362, 363, 365, 361, 353, 345, 330, 318, 306, 295, 287, 279, 272, 267
344, 353, 352, 355, 358, 351, 343, 334, 321, 311, 301, 290, 283, 275, 261, 255
337, 345, 344, 344, 348, 343, 334, 323, 313, 306, 295, 288, 279, 269, 262, 252
333, 338, 336, 337, 338, 335, 325, 313, 305, 296, 288, 279, 272, 263, 255, 243
326, 331, 329, 330, 329, 325, 316, 302, 295, 288, 278, 270, 263, 257, 247, 235
302, 316, 318, 320, 322, 317, 307, 295, 287, 279, 271, 261, 254, 249, 240, 228
