366, 378, 371, 372, 374, 372, 369, 356, 344, 331, 322, 311, 300, 292, 281, 267
339, 377, 375, 373, 376, 371, 366, 358, 349, 336, 325, 315, 307, 297, 285, 274
345, 353, 375, 372, 375, 374, 364, 321, 345, 337, 327, 316, 313, 302, 291, 282
361, 374, 375, 374, 372, 372, 366, 348, 323, 334, 327, 316, 313, 304, 296, 282
357, 371, 371, 372, 369, 369, 362, 357, 340, 331, 325, 314, 310, 302, 294, 279
351, 362, 365, 365, 366, 359, 357, 354, 335, 322, 313, 303, 290, 288, 281, 270
348, 359, 362, 363, 366, 361, 354, 345, 330, 318, 307, 295, 288, 279, 273, 267
344, 354, 353, 356, 359, 352, 344, 335, 321, 313, 302, 291, 282, 276, 261, 255
339, 346, 344, 345, 349, 344, 334, 323, 313, 306, 296, 289, 279, 269, 263, 253
333, 339, 336, 337, 339, 335, 324, 314, 305, 297, 289, 280, 271, 263, 255, 243
327, 332, 330, 330, 330, 325, 316, 303, 295, 288, 278, 270, 264, 256, 248, 235
303, 317, 318, 321, 323, 317, 307, 295, 287, 279, 272, 261, 255, 249, 241, 229
