366, 377, 371, 371, 374, 372, 369, 355, 344, 331, 323, 311, 299, 291, 282, 267
339, 377, 375, 373, 376, 370, 366, 357, 350, 336, 325, 314, 307, 296, 285, 274
344, 352, 375, 372, 375, 374, 363, 321, 345, 338, 327, 316, 313, 301, 291, 281
360, 374, 374, 374, 372, 371, 364, 348, 322, 334, 326, 316, 313, 305, 295, 282
356, 371, 370, 371, 368, 368, 362, 357, 340, 331, 325, 314, 310, 302, 293, 279
350, 362, 365, 365, 366, 360, 356, 353, 335, 322, 312, 303, 289, 288, 281, 270
348, 359, 362, 363, 366, 360, 353, 344, 330, 318, 306, 295, 288, 279, 273, 267
345, 354, 353, 356, 359, 352, 344, 335, 321, 312, 301, 290, 283, 276, 262, 255
338, 346, 344, 345, 348, 343, 333, 323, 313, 306, 295, 287, 279, 269, 262, 252
333, 338, 336, 338, 338, 335, 325, 313, 306, 296, 289, 280, 271, 263, 254, 244
326, 332, 329, 329, 330, 325, 315, 303, 296, 288, 278, 270, 264, 256, 247, 235
303, 317, 318, 320, 323, 317, 308, 295, 287, 279, 272, 261, 255, 249, 240, 229
