366, 376, 372, 370, 373, 372, 367, 354, 344, 331, 322, 311, 299, 290, 281, 266
339, 376, 374, 372, 375, 371, 366, 357, 349, 335, 324, 314, 306, 296, 284, 273
344, 352, 374, 371, 375, 373, 363, 321, 345, 338, 327, 316, 312, 301, 291, 281
361, 373, 375, 373, 371, 371, 364, 348, 322, 333, 326, 316, 312, 304, 294, 281
356, 370, 370, 371, 367, 368, 361, 357, 339, 330, 325, 315, 310, 301, 293, 278
350, 362, 365, 365, 365, 358, 356, 353, 334, 322, 312, 303, 290, 288, 280, 270
348, 359, 361, 363, 365, 360, 352, 344, 330, 318, 306, 295, 287, 279, 272, 267
345, 354, 352, 356, 359, 351, 343, 334, 320, 312, 302, 290, 282, 275, 261, 255
338, 345, 343, 344, 348, 343, 333, 322, 313, 305, 295, 289, 278, 268, 262, 252
332, 338, 336, 337, 338, 335, 324, 313, 305, 296, 288, 280, 271, 262, 255, 243
326, 332, 329, 330, 329, 324, 316, 302, 295, 287, 278, 270, 263, 257, 247, 234
302, 316, 318, 320, 323, 316, 307, 295, 287, 279, 271, 261, 254, 248, 240, 228
