367, 377, 371, 372, 374, 372, 368, 356, 344, 332, 323, 311, 300, 291, 282, 267
339, 378, 375, 374, 376, 371, 367, 359, 349, 337, 325, 314, 307, 296, 285, 274
346, 353, 375, 372, 376, 374, 364, 321, 346, 338, 327, 316, 314, 302, 292, 282
361, 374, 375, 375, 373, 372, 366, 348, 323, 334, 328, 317, 313, 304, 296, 282
356, 371, 371, 372, 369, 369, 362, 357, 340, 331, 326, 315, 311, 302, 293, 279
350, 362, 366, 367, 366, 359, 357, 355, 335, 323, 313, 304, 290, 289, 281, 271
348, 360, 363, 364, 366, 361, 354, 346, 330, 319, 307, 296, 288, 279, 273, 268
345, 354, 353, 356, 359, 353, 345, 334, 322, 312, 303, 291, 283, 276, 262, 256
339, 346, 344, 346, 349, 345, 334, 323, 313, 306, 296, 289, 279, 269, 263, 253
334, 339, 337, 338, 339, 336, 325, 314, 306, 297, 289, 281, 272, 263, 255, 244
327, 332, 329, 330, 330, 326, 316, 303, 296, 288, 278, 271, 263, 257, 248, 236
303, 317, 318, 321, 323, 318, 308, 295, 288, 280, 272, 262, 255, 249, 240, 229
