366, 376, 371, 371, 373, 372, 368, 355, 343, 330, 323, 311, 300, 291, 282, 267
338, 376, 374, 373, 375, 370, 366, 357, 349, 335, 325, 314, 307, 296, 284, 274
345, 352, 375, 371, 375, 374, 363, 321, 345, 338, 327, 316, 313, 302, 291, 281
361, 373, 374, 373, 372, 370, 364, 348, 322, 333, 326, 316, 313, 304, 295, 281
356, 371, 371, 372, 368, 368, 362, 357, 339, 330, 324, 314, 309, 301, 293, 278
350, 362, 365, 365, 365, 359, 356, 353, 335, 322, 312, 303, 289, 288, 281, 270
348, 358, 362, 362, 366, 360, 353, 345, 330, 318, 306, 295, 287, 279, 273, 267
344, 353, 353, 355, 359, 351, 344, 334, 321, 312, 302, 290, 282, 275, 261, 255
338, 346, 343, 345, 348, 343, 334, 323, 313, 306, 296, 288, 279, 268, 262, 253
332, 338, 336, 337, 338, 335, 325, 313, 305, 296, 288, 280, 271, 263, 254, 243
326, 332, 329, 330, 329, 325, 316, 302, 296, 287, 278, 270, 263, 256, 247, 235
303, 316, 317, 320, 322, 317, 308, 295, 286, 279, 272, 261, 254, 249, 240, 229
